word	number_stories_observed	number_words_read	condition	number_observed	baseline_prob_3_word_265	baseline_prob_3_word_100	baseline_prob_3_word_30	baseline_prob_2_word_100	baseline_prob_1_word_100	baseline_prob_2_word_30	baseline_prob_1_word_30
state	1	265	Chain	1	0.05318380865021991	0.06080265714960173	0.07162338216223316	0.06141385840269961	0.04111997089616606	0.07233497824113262	0.04861920286745208
natur	1	265	Chain	1	0.053130652319141394	0.06074237443604358	0.07155318858768436	0.07352800244982109	0.059402852460426585	0.08640504316660522	0.06999302686897839
revolut	1	265	Chain	1	0.05228499136521797	0.05978320984176181	0.07043611545599676	0.05985438662129283	0.03969443959434689	0.07051902411347204	0.046946419632643475
case	1	265	Chain	1	0.051479511374555975	0.0588693909607212	0.06937147551308524	0.07305697360848754	0.06049853086208485	0.0858591673044884	0.07126923921807571
leapfrog	1	265	Chain	1	0.05144930904229179	0.058835122012523715	0.06933154347776024	0.054884039656985815	0.033797824466854705	0.06472404751670874	0.0400174137851671
follow	1	265	Chain	1	0.047702237534709493	0.05458109137823916	0.06437048377782532	0.0559343391497646	0.03793237426779652	0.06594951249608584	0.044877477745515634
known	1	265	Chain	1	0.04727036402044176	0.05409047735418486	0.06379781359757217	0.05834347338963607	0.04171504439613582	0.06875859074412938	0.04931722083693525
control	1	265	Chain	1	0.04702388673467526	0.05381044713274747	0.06347089997896029	0.05278513320565849	0.0341976128542602	0.06227362877850116	0.04048768968542072
still	1	265	Chain	1	0.0465633320336583	0.053287141121575454	0.06285988756988573	0.054004345754692464	0.036185789550442035	0.06369726531800368	0.0428253427089701
sepsi	1	265	Chain	1	0.04611950847539092	0.05278277681933291	0.06227087666168847	0.0576707169951579	0.041764259166269746	0.0679744072956819	0.049374942420611266
battlefield	1	265	Chain	1	0.045858952462779344	0.05248664749042346	0.06192499591064524	0.051268045070103054	0.03305333017051786	0.06050125204372822	0.039141465277936965
50	1	265	Chain	1	0.04558639558500114	0.05217685382147702	0.06156311351987509	0.05760452382054294	0.04215612483418337	0.06789723989170697	0.04983450384299934
side	1	265	Chain	1	0.04527390824370159	0.05182164290120899	0.061148125044229555	0.04975026137915789	0.03149669049144207	0.05872704086871787	0.03730916907906665
