,condition,layer_n,k,story_merged
478,Multiple-pathway,4,2,0.05263157894736842
479,Multiple-pathway,4,2,0.07317073170731707
480,Multiple-pathway,4,2,0.0625
481,Multiple-pathway,4,2,0.04918032786885246
482,Multiple-pathway,4,2,0.10204081632653061
483,Multiple-pathway,4,2,0.06060606060606061
484,Multiple-pathway,4,2,0.06666666666666667
485,Multiple-pathway,4,2,0.125
486,Multiple-pathway,4,2,0.04225352112676056
487,Multiple-pathway,4,2,0.04
488,Multiple-pathway,4,2,0.08571428571428572
489,Multiple-pathway,4,2,0.10526315789473684
490,Multiple-pathway,4,2,0.07936507936507936
491,Multiple-pathway,4,2,0.04
492,Multiple-pathway,4,2,0.05357142857142857
493,Multiple-pathway,4,2,0.125
494,Multiple-pathway,4,2,0.10714285714285714
495,Multiple-pathway,4,2,0.10256410256410256
496,Multiple-pathway,4,2,0.06818181818181818
497,Multiple-pathway,4,2,0.058823529411764705
498,Multiple-pathway,4,2,0.06060606060606061
499,Multiple-pathway,4,2,0.08571428571428572
500,Multiple-pathway,4,2,0.029411764705882353
501,Multiple-pathway,4,2,0.025
502,Multiple-pathway,4,2,0.08450704225352113
503,Multiple-pathway,4,2,0.05128205128205128
504,Multiple-pathway,4,2,0.08333333333333333
505,Multiple-pathway,4,2,0.10204081632653061
506,Multiple-pathway,4,2,0.09523809523809523
507,Multiple-pathway,4,2,0.0967741935483871
508,Multiple-pathway,4,2,0.05194805194805195
509,Multiple-pathway,4,2,0.0945945945945946
510,Multiple-pathway,4,2,0.056179775280898875
511,Multiple-pathway,4,2,0.09090909090909091
512,Multiple-pathway,4,2,0.09523809523809523
513,Multiple-pathway,4,2,0.07042253521126761
514,Multiple-pathway,4,2,0.07407407407407407
515,Multiple-pathway,4,2,0.03636363636363636
516,Multiple-pathway,4,2,0.07142857142857142
517,Multiple-pathway,4,2,0.07547169811320754
518,Multiple-pathway,4,2,0.03278688524590164
519,Multiple-pathway,4,2,0.11235955056179775
520,Multiple-pathway,4,2,0.05
521,Multiple-pathway,4,2,0.1044776119402985
522,Multiple-pathway,4,2,0.09523809523809523
523,Multiple-pathway,4,2,0.14285714285714285
524,Multiple-pathway,4,2,0.07547169811320754
525,Multiple-pathway,4,2,0.03636363636363636
526,Multiple-pathway,4,2,0.0967741935483871
527,Multiple-pathway,4,2,0.1282051282051282
528,Multiple-pathway,4,2,0.08333333333333333
529,Multiple-pathway,4,2,0.06976744186046512
530,Multiple-pathway,4,2,0.0684931506849315
531,Multiple-pathway,4,2,0.06
532,Multiple-pathway,4,2,0.1111111111111111
